date_utc,orb_high,orb_low
2021-01-02,1.8292,1.7396
2021-01-03,2.1508,2.0
2021-01-04,2.1791,2.0978
2021-01-05,2.2917,2.1368
2021-01-06,2.1276,2.0619
2021-01-07,2.4514,2.326
2021-01-08,3.7689,3.3666
2021-01-09,3.2518,3.1654
2021-01-10,3.407,3.2841
2021-01-11,2.9562,2.68
2021-01-12,3.3547,3.1507
2021-01-13,3.4658,3.3633
2021-01-14,3.4953,3.4381
2021-01-15,3.4326,3.3215
2021-01-16,3.4404,3.2891
2021-01-17,3.6073,3.449
2021-01-18,3.9892,3.8916
2021-01-19,3.8551,3.8
2021-01-20,3.5851,3.3641
2021-01-21,3.444,3.3234
2021-01-22,3.2991,3.2658
2021-01-23,3.5353,3.4489
2021-01-24,3.6741,3.6131
2021-01-25,3.5267,3.4735
2021-01-26,3.8968,3.7545
2021-01-27,3.7216,3.6228
2021-01-28,3.9681,3.8348
2021-01-29,3.8472,3.7809
2021-01-30,4.0085,3.9058
2021-01-31,4.551,4.48
2021-02-02,5.2199,5.1094
2021-02-03,5.3599,5.2659
2021-02-04,5.9662,5.89
2021-02-05,6.8742,6.7538
2021-02-06,6.0719,5.8761
2021-02-07,6.8786,6.5856
2021-02-08,7.4213,7.0846
2021-02-09,7.8259,7.6838
2021-02-10,8.1686,7.9173
2021-02-11,9.4856,9.2661
2021-02-12,9.8788,9.5164
2021-02-13,9.121,8.9688
2021-02-14,8.7181,8.5616
2021-02-15,8.7254,8.5888
2021-02-16,8.643,8.392
2021-02-17,8.2683,8.056
2021-02-18,8.62,8.4464
2021-02-19,11.3313,10.7324
2021-02-20,10.8963,10.7287
2021-02-21,10.8402,10.6163
2021-02-22,10.0774,8.88
2021-02-23,15.8026,14.5381
2021-02-24,17.0684,16.2576
2021-02-25,16.2987,15.8
2021-02-26,14.1186,13.7812
2021-02-27,14.3015,13.7137
2021-02-28,11.97,11.5055
2021-03-02,15.1264,14.8047
2021-03-03,14.439,13.9319
2021-03-04,13.6513,13.4512
2021-03-05,12.8849,12.5866
2021-03-06,12.5241,11.8944
2021-03-07,13.8321,13.3797
2021-03-08,13.5565,13.1
2021-03-09,14.76,14.2261
2021-03-10,14.9134,14.7569
2021-03-11,14.65,14.2839
2021-03-12,15.3048,15.0043
2021-03-13,15.1755,14.8737
2021-03-14,14.6566,14.4868
2021-03-15,14.3622,14.2236
2021-03-16,13.6686,13.5016
2021-03-17,13.4991,13.3604
2021-03-18,14.11,13.9803
2021-03-19,14.2467,14.12
2021-03-20,14.9344,14.6747
2021-03-21,13.9391,13.8599
2021-03-22,15.9932,15.6922
2021-03-23,14.6882,14.52
2021-03-24,14.8649,14.6719
2021-03-25,13.0627,12.726
2021-03-26,14.1461,13.4163
2021-03-27,15.6874,15.4122
2021-03-28,18.9447,18.534
2021-03-29,18.6908,18.441
2021-03-30,20.2061,19.7146
2021-03-31,19.7232,19.3255
2021-04-02,19.3614,19.0713
2021-04-03,22.3316,21.9206
2021-04-04,25.0326,24.4243
2021-04-05,24.2991,23.4636
2021-04-06,23.415,21.6509
2021-04-07,27.0205,25.4604
2021-04-08,26.5343,26.0382
2021-04-09,29.1026,28.2724
2021-04-10,27.4994,27.192
2021-04-11,27.0387,26.36
2021-04-12,28.4929,27.8406
2021-04-13,27.4713,26.8778
2021-04-14,26.1214,24.5888
2021-04-15,27.5961,27.2083
2021-04-16,25.9685,24.9098
2021-04-17,26.6395,26.1507
2021-04-18,26.8577,26.2236
2021-04-19,34.9967,32.5512
2021-04-20,30.8304,30.0464
2021-04-21,33.7726,32.4291
2021-04-22,37.6546,36.4014
2021-04-23,35.2549,33.8512
2021-04-24,36.493,35.4551
2021-04-25,44.7728,43.1986
2021-04-26,47.3133,45.8947
2021-04-27,44.5,42.567
2021-04-28,46.5802,45.0001
2021-04-29,43.8912,43.34
2021-04-30,43.2334,42.1
2021-05-02,47.2693,46.286
2021-05-03,48.5879,46.5753
2021-05-04,46.8654,45.0747
2021-05-05,45.138,44.1933
2021-05-06,44.0189,43.5847
2021-05-07,43.119,42.5283
2021-05-08,44.2793,43.8006
2021-05-09,43.9191,43.4682
2021-05-10,44.4,43.5
2021-05-11,41.242,40.102
