scenario_id,adx_threshold,orb_start,orb_end,orb_cutoff,signals_total,initial_capital,final_equity,total_return_pct,cagr,max_drawdown_pct,daily_sharpe,total_trades,winning_trades,losing_trades,win_rate_pct,avg_win,avg_loss,total_pnl_net,expectancy_per_trade,total_fees,total_funding,liquidations
adx35_orb1300,35.0,13:00,13:30,13:30,356,10000.0,26523.053549305376,165.23053549305376,0.21134147876513665,-26.933562473245743,0.9897384659105787,353,239,114,67.70538243626062,334.9805392098464,-564.3864058642639,15720.298602627221,44.533423803476545,6361.129391347943,-802.7549466781703,0
adx35_orb1330,35.0,13:30,14:00,14:00,335,10000.0,24335.056574809445,143.35056574809445,0.19101452218065207,-20.211644851645303,0.956113571189329,332,225,107,67.7710843373494,321.5458528056516,-548.7135880385292,13635.462961148984,41.07067156972585,5745.015034976522,-699.5936136604785,0
adx35_orb1400,35.0,14:00,14:30,14:30,328,10000.0,22334.20467141232,123.34204671412321,0.17109718994882162,-21.262586863763953,0.8972693196255115,327,217,110,66.36085626911316,268.7073774771913,-422.7781066886967,11803.909176793877,36.09758158040941,4673.132490606258,-530.2954946184246,0
adx38_orb1300,38.0,13:00,13:30,13:30,266,10000.0,12028.44590896515,20.284459089651506,0.03696911608997833,-34.54458927042609,0.2829419488532921,264,178,86,67.42424242424242,175.12901195827138,-342.53617150106686,1714.8533794805528,6.495656740456639,2446.8371339829196,-313.59252948459226,0
adx38_orb1330,38.0,13:30,14:00,14:00,249,10000.0,14850.891361332498,48.50891361332499,0.08083482785431162,-25.74251145311187,0.5044125420787322,247,170,77,68.82591093117408,214.91752094959983,-416.1905339425808,4489.307447853242,18.175333796976687,2820.9670474581644,-361.58391347926664,0
adx38_orb1400,38.0,14:00,14:30,14:30,246,10000.0,14908.974501669849,49.089745016698494,0.08166442322675538,-31.31523102445627,0.5210871730322718,245,164,81,66.93877551020408,194.58784946346938,-337.052273641113,4611.173147078829,18.821114886036035,2516.50765479967,-297.8013545910229,0
adx43_orb1300,43.0,13:00,13:30,13:30,177,10000.0,32575.147329635667,225.75147329635666,0.2612811881378829,-19.92156093080222,1.3542701161588224,175,134,41,76.57142857142857,356.71949019189384,-628.5141498336668,22031.331542533437,125.89332310019107,3312.6805169935906,-543.8157871021804,0
adx43_orb1330,43.0,13:30,14:00,14:00,166,10000.0,32284.994941563767,222.8499494156377,0.2590650238845227,-19.921560930802183,1.3652360059799857,164,128,36,78.04878048780488,366.9183963555015,-700.942284445157,21731.632493478537,132.50995422852768,3230.5454238696557,-553.3624480852155,0
adx43_orb1400,43.0,14:00,14:30,14:30,161,10000.0,28735.436167948697,187.35436167948697,0.23056817936421492,-19.921560930802194,1.2397754835006258,159,123,36,77.35849056603774,322.0152999434399,-592.0992700037905,18292.308172906643,115.0459633516141,2711.9435653426904,-443.12799504206293,0
adx48_orb1300,48.0,13:00,13:30,13:30,95,10000.0,12450.815565865503,24.508155658655028,0.044027379981723014,-18.632970978003506,0.3812376861029069,95,71,24,74.73684210526315,199.08426543693068,-492.5454858115575,2313.891186544695,24.356749332049418,1003.9765718781106,-136.92437932080523,0
adx48_orb1330,48.0,13:30,14:00,14:00,90,10000.0,12386.238406542638,23.86238406542638,0.04296080720881834,-18.10572962892467,0.3800348767454583,90,68,22,75.55555555555556,210.86384925452006,-550.090286286314,2236.7554510084587,24.85283834453843,1008.8732318440606,-149.48295553418856,0
adx48_orb1400,48.0,14:00,14:30,14:30,88,10000.0,9874.151371889586,-1.258486281104143,-0.002486256630210182,-21.698092657401734,0.050342409297840764,88,62,26,70.45454545454545,187.96937005695713,-457.90306504477536,-251.37874763281786,-2.8565766776456574,879.6412689634595,-125.53011952240254,0
adx55_orb1300,55.0,13:00,13:30,13:30,37,10000.0,10946.94802200895,9.46948022008951,0.017942774788657134,-13.16520969233318,0.2950638315231487,37,27,10,72.97297297297297,194.37389380341736,-436.042079310535,887.6743395869195,23.99119836721404,380.8714423438378,-59.27368242202002,0
adx55_orb1330,55.0,13:30,14:00,14:00,36,10000.0,11214.704401135252,12.147044011352515,0.022789347244395408,-13.085678214157747,0.36770686809440434,36,27,9,75.0,196.957296325881,-462.46043707590735,1155.7030671156213,32.10286297543392,375.95647068958186,-59.001334019620856,0
adx55_orb1400,55.0,14:00,14:30,14:30,36,10000.0,9962.664743167288,-0.37335256832712327,-0.0007349574466022357,-13.317954900596174,0.02309617296722309,36,24,12,66.66666666666666,179.36136253057444,-366.0833066180826,-88.32697868320466,-2.4535271856445737,342.66426543136356,-50.991721850485476,0
