fold_id,date_utc
fold_01,2023-01-02
fold_01,2023-01-03
fold_01,2023-01-04
fold_01,2023-01-08
fold_01,2023-03-08
fold_01,2023-03-10
fold_01,2023-04-11
fold_01,2023-04-13
fold_01,2023-04-19
fold_01,2023-04-26
fold_01,2023-05-01
fold_01,2023-05-03
fold_01,2023-05-08
fold_01,2023-05-11
fold_01,2023-05-24
fold_01,2023-05-28
fold_01,2023-05-31
fold_01,2023-06-04
fold_01,2023-06-06
fold_01,2023-06-10
fold_01,2023-06-17
fold_01,2023-06-23
fold_01,2023-06-28
fold_01,2023-06-29
fold_01,2023-06-30
fold_02,2023-08-16
fold_02,2023-08-27
fold_02,2023-09-10
fold_02,2023-09-12
fold_02,2023-09-18
fold_02,2023-10-01
fold_02,2023-10-02
fold_02,2023-10-09
fold_02,2023-10-16
fold_02,2023-10-20
fold_02,2023-10-21
fold_03,2024-06-17
fold_03,2024-06-18
fold_03,2024-06-24
fold_04,2024-10-11
fold_04,2024-10-14
fold_04,2024-10-27
fold_06,2025-07-14
fold_06,2025-07-21
fold_06,2025-07-24
fold_06,2025-09-22
fold_06,2025-09-25
fold_06,2025-10-02
fold_06,2025-12-29
